city,latitude,longitude,date,PM2.5,PM10
Chennai,13.0827,80.2707,2024-01-01,95.6,160.84
Chennai,13.0827,80.2707,2024-01-02,43.21,80.17
Chennai,13.0827,80.2707,2024-01-03,83.41,138.07
Chennai,13.0827,80.2707,2024-01-04,61.11,101.96
Chennai,13.0827,80.2707,2024-01-05,76.4,129.51
Chennai,13.0827,80.2707,2024-01-06,102.76,180.51
Chennai,13.0827,80.2707,2024-01-07,93.34,185.26
Chennai,13.0827,80.2707,2024-01-08,111.31,224.46
Chennai,13.0827,80.2707,2024-01-09,54.82,114.19
Chennai,13.0827,80.2707,2024-01-10,38.05,65.47
Chennai,13.0827,80.2707,2024-01-11,114.39,183.56
Chennai,13.0827,80.2707,2024-01-12,69.28,141.34
Chennai,13.0827,80.2707,2024-01-13,63.2,119.52
Chennai,13.0827,80.2707,2024-01-14,107.84,178.92
Chennai,13.0827,80.2707,2024-01-15,109.85,176.44
Chennai,13.0827,80.2707,2024-01-16,74.22,142.32
Chennai,13.0827,80.2707,2024-01-17,81.27,
Chennai,13.0827,80.2707,2024-01-18,128.02,194.8
Chennai,13.0827,80.2707,2024-01-19,143.33,222.33
Chennai,13.0827,80.2707,2024-01-20,81.11,162.35
Chennai,13.0827,80.2707,2024-01-21,64.21,112.48
Chennai,13.0827,80.2707,2024-01-22,77.43,145.65
Chennai,13.0827,80.2707,2024-01-23,73.25,126.93
Chennai,13.0827,80.2707,2024-01-24,61.86,103.24
Chennai,13.0827,80.2707,2024-01-25,80.53,140.73
Chennai,13.0827,80.2707,2024-01-26,91.01,185.41
Chennai,13.0827,80.2707,2024-01-27,79.68,157.27
Chennai,13.0827,80.2707,2024-01-28,72.06,112.47
Chennai,13.0827,80.2707,2024-01-29,73.37,149.96
Chennai,13.0827,80.2707,2024-01-30,65.05,106.3
Chennai,13.0827,80.2707,2024-01-31,73.29,111.94
Chennai,13.0827,80.2707,2024-02-01,94.23,180.06
Chennai,13.0827,80.2707,2024-02-02,97.66,195.6
Chennai,13.0827,80.2707,2024-02-03,33.87,63.13
Chennai,13.0827,80.2707,2024-02-04,67.02,123.09
Chennai,13.0827,80.2707,2024-02-05,95.61,163.4
Chennai,13.0827,80.2707,2024-02-06,148.69,244.46
Chennai,13.0827,80.2707,2024-02-07,89.39,140.55
Chennai,13.0827,80.2707,2024-02-08,46.59,75.05
Chennai,13.0827,80.2707,2024-02-09,60.86,95.21
Chennai,13.0827,80.2707,2024-02-10,101.3,188.03
Chennai,13.0827,80.2707,2024-02-11,108.81,205.38
Chennai,13.0827,80.2707,2024-02-12,49.23,100.33
Chennai,13.0827,80.2707,2024-02-13,65.78,120.65
Chennai,13.0827,80.2707,2024-02-14,40.91,65.16
Chennai,13.0827,80.2707,2024-02-15,139.55,238.54
Chennai,13.0827,80.2707,2024-02-16,83.4,158.4
Chennai,13.0827,80.2707,2024-02-17,36.5,59.83
Chennai,13.0827,80.2707,2024-02-18,85.11,159.32
Chennai,13.0827,80.2707,2024-02-19,91.42,143.19
Chennai,13.0827,80.2707,2024-02-20,121.26,195.1
Chennai,13.0827,80.2707,2024-02-21,63.9,122.97
Chennai,13.0827,80.2707,2024-02-22,43.43,66.57
Chennai,13.0827,80.2707,2024-02-23,113.36,179.62
Chennai,13.0827,80.2707,2024-02-24,68.25,122.94
Chennai,13.0827,80.2707,2024-02-25,46.97,81.75
Chennai,13.0827,80.2707,2024-02-26,52.37,99.26
Chennai,13.0827,80.2707,2024-02-27,70.0,121.68
Chennai,13.0827,80.2707,2024-02-28,54.01,100.15
Chennai,13.0827,80.2707,2024-02-29,77.8,141.98
Chennai,13.0827,80.2707,2024-03-01,46.67,88.25
Chennai,13.0827,80.2707,2024-03-02,61.43,119.35
Chennai,13.0827,80.2707,2024-03-03,69.12,142.52
Chennai,13.0827,80.2707,2024-03-04,54.18,95.4
Chennai,13.0827,80.2707,2024-03-05,67.35,136.31
Chennai,13.0827,80.2707,2024-03-06,70.25,117.91
Chennai,13.0827,80.2707,2024-03-07,63.59,108.36
Chennai,13.0827,80.2707,2024-03-08,67.22,101.69
Chennai,13.0827,80.2707,2024-03-09,49.91,85.49
Chennai,13.0827,80.2707,2024-03-10,24.38,39.96
Chennai,13.0827,80.2707,2024-03-11,60.26,122.35
Chennai,13.0827,80.2707,2024-03-12,33.6,52.24
Chennai,13.0827,80.2707,2024-03-13,50.48,78.17
Chennai,13.0827,80.2707,2024-03-14,73.68,145.78
Chennai,13.0827,80.2707,2024-03-15,86.56,175.13
Chennai,13.0827,80.2707,2024-03-16,44.23,83.11
Chennai,13.0827,80.2707,2024-03-17,52.92,82.63
Chennai,13.0827,80.2707,2024-03-18,65.51,136.52
Chennai,13.0827,80.2707,2024-03-19,74.37,142.5
Chennai,13.0827,80.2707,2024-03-20,67.33,102.26
Chennai,13.0827,80.2707,2024-03-21,39.64,81.35
Chennai,13.0827,80.2707,2024-03-22,76.55,127.18
Chennai,13.0827,80.2707,2024-03-23,39.18,77.11
Chennai,13.0827,80.2707,2024-03-24,57.12,
Chennai,13.0827,80.2707,2024-03-25,47.68,72.42
Chennai,13.0827,80.2707,2024-03-26,86.34,156.78
Chennai,13.0827,80.2707,2024-03-27,55.43,115.57
Chennai,13.0827,80.2707,2024-03-28,49.22,103.0
Chennai,13.0827,80.2707,2024-03-29,32.83,63.68
Chennai,13.0827,80.2707,2024-03-30,70.17,112.14
Chennai,13.0827,80.2707,2024-03-31,69.03,121.4
Chennai,13.0827,80.2707,2024-04-01,49.51,80.38
Chennai,13.0827,80.2707,2024-04-02,36.63,
Chennai,13.0827,80.2707,2024-04-03,54.07,84.15
Chennai,13.0827,80.2707,2024-04-04,27.61,50.86
Chennai,13.0827,80.2707,2024-04-05,60.46,119.08
Chennai,13.0827,80.2707,2024-04-06,63.04,99.11
Chennai,13.0827,80.2707,2024-04-07,42.05,78.31
Chennai,13.0827,80.2707,2024-04-08,71.1,131.4
Chennai,13.0827,80.2707,2024-04-09,75.0,126.33
Chennai,13.0827,80.2707,2024-04-10,44.84,86.34
Chennai,13.0827,80.2707,2024-04-11,33.97,55.6
Chennai,13.0827,80.2707,2024-04-12,39.39,74.86
Chennai,13.0827,80.2707,2024-04-13,33.14,54.32
Chennai,13.0827,80.2707,2024-04-14,38.53,60.77
Chennai,13.0827,80.2707,2024-04-15,40.15,65.86
Chennai,13.0827,80.2707,2024-04-16,45.26,93.89
Chennai,13.0827,80.2707,2024-04-17,30.69,50.35
Chennai,13.0827,80.2707,2024-04-18,28.45,54.77
Chennai,13.0827,80.2707,2024-04-19,20.86,41.94
Chennai,13.0827,80.2707,2024-04-20,36.39,62.13
Chennai,13.0827,80.2707,2024-04-21,48.57,
Chennai,13.0827,80.2707,2024-04-22,38.43,72.64
Chennai,13.0827,80.2707,2024-04-23,34.25,64.02
Chennai,13.0827,80.2707,2024-04-24,28.99,43.67
Chennai,13.0827,80.2707,2024-04-25,22.1,44.35
