city,latitude,longitude,date,NO2,SO2,CO,O3,AOD,temperature,humidity,wind_speed,rainfall,pressure,PM2.5,PM10
Chennai,13.0827,80.2707,2024-01-01,47.184,16.706,0.7999,19.174,0.5193,29.95,71.14,6.29,0.41,1012.63,95.6,160.84
Chennai,13.0827,80.2707,2024-01-02,34.338,11.065,0.3514,11.624,0.3124,24.24,48.06,5.88,0.0,1012.79,43.21,80.17
Chennai,13.0827,80.2707,2024-01-03,43.361,13.494,0.7206,21.558,0.4698,23.45,64.05,6.11,0.0,1010.98,83.41,138.07
Chennai,13.0827,80.2707,2024-01-04,43.097,17.022,0.6195,17.652,0.4832,23.48,52.85,9.38,0.0,1009.39,61.11,101.96
Chennai,13.0827,80.2707,2024-01-05,39.811,13.56,0.6106,21.493,0.4851,25.49,60.7,3.67,0.74,1014.3,76.4,129.51
Chennai,13.0827,80.2707,2024-01-06,57.292,15.794,0.786,23.783,0.5088,26.92,78.16,7.34,0.0,1015.69,102.76,180.51
Chennai,13.0827,80.2707,2024-01-07,44.415,14.882,0.4823,18.372,0.5396,29.72,61.88,5.4,0.0,1009.49,93.34,185.26
Chennai,13.0827,80.2707,2024-01-08,52.297,14.975,0.7522,22.288,0.6405,24.27,63.58,6.44,0.0,1006.61,111.31,224.46
Chennai,13.0827,80.2707,2024-01-09,44.354,11.736,0.6037,17.454,0.4537,25.63,69.61,12.13,0.0,1011.52,54.82,114.19
Chennai,13.0827,80.2707,2024-01-10,34.936,11.305,0.6422,14.122,0.4087,25.96,57.19,10.27,2.61,1013.26,38.05,65.47
Chennai,13.0827,80.2707,2024-01-11,61.348,14.97,0.7522,19.328,0.6715,30.33,73.7,7.43,2.07,1009.9,114.39,183.56
Chennai,13.0827,80.2707,2024-01-12,47.416,11.573,0.5444,21.691,0.3772,26.64,77.34,3.39,4.55,1011.55,69.28,141.34
Chennai,13.0827,80.2707,2024-01-13,42.608,14.208,0.4702,19.196,0.4925,26.65,73.83,7.85,0.0,1007.35,63.2,119.52
Chennai,13.0827,80.2707,2024-01-14,44.383,14.23,0.5957,26.246,0.6519,27.16,74.74,5.24,0.0,1011.44,107.84,178.92
Chennai,13.0827,80.2707,2024-01-15,49.042,18.791,0.7527,39.693,0.5714,22.6,67.11,5.0,2.07,1013.93,109.85,176.44
Chennai,13.0827,80.2707,2024-01-16,47.813,15.11,0.6151,14.033,0.3934,25.02,74.4,7.94,0.0,1007.26,74.22,142.32
Chennai,13.0827,80.2707,2024-01-17,41.411,13.136,0.4884,19.351,0.4912,28.86,76.15,3.96,0.0,1008.19,81.27,71.72699152542373
Chennai,13.0827,80.2707,2024-01-18,68.816,16.688,0.7735,26.783,0.5901,25.38,73.96,5.48,0.0,1010.29,128.02,194.8
Chennai,13.0827,80.2707,2024-01-19,46.253,20.372,0.6497,21.298,0.749,26.35,59.43,5.62,0.0,1013.04,143.33,222.33
