city,latitude,longitude,date,NO2,SO2,CO,O3,AOD
Chennai,13.0827,80.2707,2024-01-01,47.184,16.706,0.7999,19.174,0.5193
Chennai,13.0827,80.2707,2024-01-02,34.338,11.065,0.3514,11.624,0.3124
Chennai,13.0827,80.2707,2024-01-03,43.361,13.494,0.7206,21.558,0.4698
Chennai,13.0827,80.2707,2024-01-04,43.097,17.022,0.6195,17.652,0.4832
Chennai,13.0827,80.2707,2024-01-05,39.811,13.56,0.6106,21.493,0.4851
Chennai,13.0827,80.2707,2024-01-06,57.292,15.794,0.786,23.783,0.5088
Chennai,13.0827,80.2707,2024-01-07,44.415,14.882,0.4823,18.372,0.5396
Chennai,13.0827,80.2707,2024-01-08,52.297,14.975,0.7522,22.288,0.6405
Chennai,13.0827,80.2707,2024-01-09,44.354,11.736,0.6037,17.454,0.4537
Chennai,13.0827,80.2707,2024-01-10,34.936,11.305,0.6422,14.122,0.4087
Chennai,13.0827,80.2707,2024-01-11,61.348,14.97,0.7522,19.328,0.6715
Chennai,13.0827,80.2707,2024-01-12,47.416,11.573,0.5444,21.691,0.3772
Chennai,13.0827,80.2707,2024-01-13,42.608,14.208,0.4702,19.196,0.4925
Chennai,13.0827,80.2707,2024-01-14,44.383,14.23,0.5957,26.246,0.6519
Chennai,13.0827,80.2707,2024-01-15,49.042,18.791,0.7527,39.693,0.5714
Chennai,13.0827,80.2707,2024-01-16,47.813,15.11,0.6151,14.033,0.3934
Chennai,13.0827,80.2707,2024-01-17,41.411,13.136,0.4884,19.351,0.4912
Chennai,13.0827,80.2707,2024-01-18,68.816,16.688,0.7735,26.783,0.5901
Chennai,13.0827,80.2707,2024-01-19,46.253,20.372,0.6497,21.298,0.749
Chennai,13.0827,80.2707,2024-01-20,42.492,18.957,0.6917,7.389,0.5257
Chennai,13.0827,80.2707,2024-01-21,48.823,12.605,0.5549,19.424,0.36
Chennai,13.0827,80.2707,2024-01-22,35.651,12.843,0.7175,17.684,0.4051
Chennai,13.0827,80.2707,2024-01-23,42.458,14.435,0.8114,21.592,0.5639
Chennai,13.0827,80.2707,2024-01-24,51.846,14.734,0.5942,20.502,0.4641
Chennai,13.0827,80.2707,2024-01-25,43.719,17.023,0.6883,25.422,0.5761
Chennai,13.0827,80.2707,2024-01-26,48.893,17.999,0.7136,20.983,0.6745
Chennai,13.0827,80.2707,2024-01-27,46.398,15.265,0.7085,15.158,0.6794
Chennai,13.0827,80.2707,2024-01-28,40.722,14.616,0.5787,25.313,0.496
Chennai,13.0827,80.2707,2024-01-29,43.941,13.926,0.6708,11.129,0.4199
Chennai,13.0827,80.2707,2024-01-30,40.067,14.385,0.6079,21.387,0.447
Chennai,13.0827,80.2707,2024-01-31,50.453,15.513,0.6413,33.432,0.5382
Chennai,13.0827,80.2707,2024-02-01,49.277,11.36,0.6843,18.307,0.4044
Chennai,13.0827,80.2707,2024-02-02,57.047,17.207,0.6746,20.755,0.5274
Chennai,13.0827,80.2707,2024-02-03,28.532,9.995,0.4408,14.86,0.3701
Chennai,13.0827,80.2707,2024-02-04,42.597,12.254,0.7928,23.329,0.4886
Chennai,13.0827,80.2707,2024-02-05,48.173,15.16,0.7147,13.301,0.5333
Chennai,13.0827,80.2707,2024-02-06,53.226,20.737,0.6087,10.953,0.5866
Chennai,13.0827,80.2707,2024-02-07,41.707,13.843,0.5641,19.965,0.5919
Chennai,13.0827,80.2707,2024-02-08,36.106,11.903,0.3654,15.638,0.4157
Chennai,13.0827,80.2707,2024-02-09,35.827,17.737,0.5587,14.707,0.3221
